season,player_name,team,position,age,games_played,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goal_attempts,field_goal_pct,three_point_makes,three_point_attempts,three_point_pct,free_throws_made,free_throw_attempts,free_throw_pct,points_pg,rebounds_pg,assists_pg,ts_pct,effective_fg_pct,usage_rate,ast_pct,reb_pct,tov_pct,net_rating
2023-24,DeJon Jarreau,MEM,,26.0,9,149.5467,43,44,26,6,2,9,17,50,0.34,4,13,0.308,5,11,0.455,4.7778,4.8889,2.8889,0.392,0.38,0.171,0.2413,0.1385,0.141,-4.6
2023-24,Jules Bernard,WAS,,24.0,19,149.275,74,26,16,3,1,8,29,64,0.453,11,29,0.379,5,9,0.556,3.8947,1.3684,0.8421,0.544,0.5391,0.189,0.1479,0.085,0.1053,6.3
2023-24,Jeff Dowtin Jr.,PHI,,27.0,12,142.0167,52,20,27,7,1,5,20,36,0.556,9,19,0.474,3,4,0.75,4.3333,1.6667,2.25,0.689,0.6806,0.124,0.2651,0.0825,0.1169,6.8
2023-24,Sidy Cissoko,SAS,,20.0,12,140.9183,45,22,10,7,3,3,16,33,0.485,1,12,0.083,12,15,0.8,3.75,1.8333,0.8333,0.568,0.5,0.124,0.0935,0.0815,0.0704,8.7
2023-24,Brandon Clarke,MEM,,27.0,6,134.3183,68,32,9,5,6,3,33,59,0.559,1,6,0.167,1,7,0.143,11.3333,5.3333,1.5,0.548,0.5678,0.188,0.1139,0.1121,0.0461,-3.9
2023-24,Emoni Bates,CLE,,20.0,15,132.815,41,14,10,1,2,8,15,49,0.306,10,33,0.303,1,4,0.25,2.7333,0.9333,0.6667,0.404,0.4082,0.196,0.1008,0.0611,0.1361,-30.7
2023-24,Dru Smith,MIA,,26.0,9,130.895,39,14,14,9,3,5,15,33,0.455,7,17,0.412,2,2,1.0,4.3333,1.5556,1.5556,0.576,0.5606,0.128,0.1451,0.0627,0.1286,-15.0
2023-24,Nate Williams,HOU,,25.0,22,129.385,63,23,7,4,1,4,27,50,0.54,2,5,0.4,7,13,0.538,2.8636,1.0455,0.3182,0.565,0.56,0.173,0.0827,0.0953,0.067,6.9
2023-24,Timmy Allen,MEM,,24.0,5,125.4517,13,17,5,4,0,2,6,23,0.261,0,7,0.0,1,2,0.5,2.6,3.4,1.0,0.272,0.2609,0.084,0.0507,0.0638,0.0773,-21.8
2023-24,T.J. Warren,MIN,,30.0,11,124.6733,41,22,9,4,1,4,18,41,0.439,2,13,0.154,3,4,0.75,3.7273,2.0,0.8182,0.479,0.4634,0.148,0.1003,0.096,0.0855,17.2
2023-24,Luka Garza,MIN,,25.0,25,121.84,99,31,4,4,1,6,36,75,0.48,9,32,0.281,18,25,0.72,3.96,1.24,0.16,0.576,0.54,0.278,0.0577,0.1384,0.0652,-0.6
2023-24,Jalen Pickett,DEN,,24.0,27,121.7883,42,14,21,4,0,9,15,35,0.429,9,25,0.36,3,4,0.75,1.5556,0.5185,0.7778,0.571,0.5571,0.164,0.2175,0.0637,0.1967,-2.4
