"team","season","wins","loses","points_pg","opponent_points_pg","avg_fg_pct","avg_three_point_pct","avg_offensive_rebounds","avg_defensive_rebounds","avg_apg","avg_spg","avg_bpg","avg_to","off_rating_est","def_rating_est","net_rating"
"TOR","2024-25",30,52,110.8659,115.1585,0.4597,0.3498,12.6098,32.5122,28.5366,8.0976,4.2439,15.3293,107.613,111.8929,-4.28
"UTA","2024-25",17,65,111.8902,121.2317,0.4561,0.3529,11.9878,33.4268,25.5244,6.7683,4.3902,17.2195,108.2569,117.3744,-9.1175
"WAS","2024-25",18,64,108.0,120.439,0.4391,0.3330,10.5732,33.1220,25.0976,7.5976,5.1220,15.5610,104.0832,116.1076,-12.0245
"ATL","2025-26",46,36,118.4634,116.0488,0.4747,0.3697,10.9756,32.5610,30.1341,9.3659,4.6829,14.1707,113.2451,110.9378,2.3072
"BKN","2025-26",20,62,105.9268,115.9146,0.4431,0.3414,10.3293,29.0000,25.0000,7.9634,4.2683,15.7561,106.0193,116.0389,-10.0196
"BOS","2025-26",56,26,114.8537,107.1585,0.4677,0.3667,12.5000,33.8659,24.6463,7.1341,5.0000,12.3659,117.2222,109.3338,7.8884
"CHA","2025-26",44,38,116.0122,111.1829,0.4612,0.3785,12.7805,33.2927,26.3415,7.0366,4.5000,15.4146,115.8122,110.9272,4.885
"CHI","2025-26",31,51,116.3049,121.5122,0.4685,0.3543,10.3537,34.6951,28.4756,7.6463,5.0000,15.3293,110.3505,115.3433,-4.9928
"CLE","2025-26",52,30,119.5244,115.4146,0.4827,0.3622,11.7195,32.7073,28.3049,8.5000,4.9878,13.9878,116.102,112.1569,3.9451
"DAL","2025-26",26,56,114.122,119.6341,0.4665,0.3392,10.5244,34.1829,25.2683,7.5488,5.1585,14.5488,108.5812,113.8906,-5.3094
"DEN","2025-26",54,28,122.0732,116.9268,0.4968,0.3958,9.7683,34.2073,28.9634,6.8293,3.9634,12.8902,119.5929,114.542,5.051
"DET","2025-26",60,22,117.7683,109.6098,0.4871,0.3565,13.0854,32.4756,27.8171,10.4390,6.3780,15.1341,114.5281,106.515,8.013
"GSW","2025-26",37,45,114.6098,115.1707,0.4620,0.3538,11.3659,30.9756,28.8902,9.7073,4.2195,15.6585,112.0146,112.5607,-0.5461
"HOU","2025-26",52,30,115.2317,110.0122,0.4810,0.3658,15.0366,33.0854,25.4024,8.5488,5.7683,15.3780,115.1855,109.9533,5.2322
"IND","2025-26",19,63,112.4268,120.4146,0.4585,0.3570,9.8293,32.1098,27.6707,7.3780,4.5610,14.5122,108.3468,116.0897,-7.7429
"LAC","2025-26",42,40,113.7683,112.6341,0.4854,0.3641,9.5610,31.0366,23.7439,9.0000,4.8780,14.3415,114.3455,113.2416,1.104
"LAL","2025-26",53,29,116.3415,114.5854,0.5027,0.3610,9.4390,31.5488,25.8780,8.5488,4.2805,14.4878,115.3937,113.6945,1.6992
"MEM","2025-26",25,57,114.6707,120.6829,0.4573,0.3530,11.1707,30.9512,27.8415,8.8171,4.7927,15.0732,109.9628,115.7083,-5.7455
"MIA","2025-26",43,39,120.8659,118.5366,0.4689,0.3595,11.8293,34.4512,28.9512,8.6463,4.2561,13.6585,113.767,111.6734,2.0935
"MIL","2025-26",32,50,110.6341,116.8415,0.4772,0.3880,8.9146,31.8293,25.8049,7.4024,3.9756,15.2073,110.2854,116.6289,-6.3435
"MIN","2025-26",49,33,118.0,114.6463,0.4817,0.3720,11.0610,33.0244,26.0732,8.7439,5.8049,14.8049,113.7421,110.7228,3.0193
"NOP","2025-26",26,56,115.5244,120.0244,0.4656,0.3454,12.2195,31.6585,25.0976,8.8537,5.1707,14.1829,111.2003,115.7087,-4.5085
"NYK","2025-26",53,29,116.4512,110.122,0.4779,0.3718,12.6829,32.9268,27.4390,8.1220,3.9268,13.6463,116.667,110.3521,6.3149
"OKC","2025-26",64,18,119.0244,107.878,0.4846,0.3647,9.5610,34.5610,25.7683,9.7073,5.4756,12.5732,116.0221,105.2209,10.8012
"ORL","2025-26",45,37,115.7439,115.1098,0.4650,0.3414,10.9512,32.4268,26.5488,8.5000,4.7195,14.1707,112.0933,111.5288,0.5644
"PHI","2025-26",45,37,115.878,116.061,0.4627,0.3443,11.7927,31.8537,24.5976,9.1463,5.6585,13.6220,112.1559,112.3164,-0.1605
"PHX","2025-26",45,37,112.5854,111.122,0.4561,0.3601,12.9756,30.1341,24.6463,9.5244,4.2317,14.4878,112.1269,110.7426,1.3843
"POR","2025-26",42,40,115.4756,115.7683,0.4538,0.3419,14.1098,31.8780,25.1463,8.2561,5.4634,17.2805,111.0751,111.2544,-0.1793
"SAC","2025-26",22,60,111.0,121.0,0.4676,0.3405,11.5000,30.7683,25.5488,8.0244,4.5366,14.3293,108.6313,118.4281,-9.7968
"SAS","2025-26",62,20,119.8293,111.5244,0.4843,0.3585,11.4024,35.6220,28.0732,7.5244,5.4512,13.4512,116.6251,108.5502,8.0749
"TOR","2025-26",46,36,114.6341,111.8049,0.4830,0.3553,10.9146,31.1829,29.4756,8.8049,4.8171,13.6707,112.7873,110.2704,2.5169
"UTA","2025-26",22,60,117.5854,126.0122,0.4678,0.3455,12.0000,31.8171,29.6220,8.8902,3.7683,15.5122,111.2827,119.2895,-8.0067
"WAS","2025-26",17,65,112.9024,124.878,0.4630,0.3567,10.9756,30.9268,25.0488,7.9878,5.5122,15.6585,108.1827,119.7258,-11.5431
